Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
Vinicius Júnior,7,br BRA,"FW,LW",23-325,89,21,31,67.7,322,43,12,13,92.3,4,9,44.4,2,5,40,0,0,0,0,0,1,0,3
Lucas Vázquez,17,es ESP,FW,32-336,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Rodrygo,11,br BRA,"FW,RW",23-144,89,15,17,88.2,173,24,12,13,92.3,3,3,100,0,0,,0,0,0,0,0,0,0,0
Éder Militão,3,br BRA,CB,26-135,1,0,0,,0,0,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0
Jude Bellingham,5,eng ENG,AM,20-338,84,30,36,83.3,413,50,20,22,90.9,10,13,76.9,0,0,,1,0.4,0,3,2,0,0,3
Joselu,14,es ESP,"FW,AM",34-066,6,1,3,33.3,13,6,1,3,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0
Toni Kroos,8,de GER,LM,34-149,85,95,103,92.2,1759,652,44,45,97.8,36,37,97.3,14,20,70,1,0.4,0.5,4,6,1,1,8
Luka Modrić,10,hr CRO,"CM,LM",38-266,5,7,8,87.5,78,22,5,5,100,2,2,100,0,0,,0,0,0,0,2,0,0,1
Eduardo Camavinga,12,fr FRA,CM,21-204,90,57,63,90.5,887,210,32,35,91.4,23,24,95.8,2,2,100,0,0.2,0.1,1,7,0,0,5
Federico Valverde,15,uy URU,"RM,CM",25-315,90,50,54,92.6,825,199,28,30,93.3,17,19,89.5,5,5,100,0,0,0,1,4,2,0,6
Ferland Mendy,23,fr FRA,LB,28-359,90,52,52,100,739,181,31,31,100,17,17,100,3,3,100,0,0,0,0,5,0,0,7
Nacho,6,es ESP,CB,34-135,90,58,60,96.7,950,352,25,25,100,30,31,96.8,2,3,66.7,0,0,0,0,1,0,0,0
Antonio Rüdiger,22,de GER,CB,31-090,90,74,77,96.1,1458,575,25,26,96.2,39,40,97.5,10,11,90.9,0,0,0,0,9,0,0,11
Dani Carvajal,2,es ESP,RB,32-142,90,50,63,79.4,833,204,23,26,88.5,24,28,85.7,2,4,50,0,0,0,0,3,0,0,4
Thibaut Courtois,1,be BEL,GK,32-021,90,19,23,82.6,329,177,5,5,100,13,13,100,1,5,20,0,0,0,0,0,0,0,0